Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Andorra,Europe,15284,19781.27,75,97.07,13,130,168.25,0,0,0
Congo,Africa,14833,268.81,589,10.67,272,206,3.73,13,0.24,7
Burkina Faso,Africa,14403,68.9,190,0.91,47,195,0.93,12,0.06,4
Guam,Western Pacific,13519,8010.07,743,440.23,362,210,124.43,18,10.67,12
Djibouti,Eastern Mediterranean,13116,1327.53,411,41.6,59,174,17.61,7,0.71,0
Equatorial Guinea,Africa,12532,893.24,318,22.67,0,150,10.69,4,0.29,0
South Sudan,Africa,12096,108.06,101,0.9,16,130,1.16,2,0.02,0
Iceland,Europe,12035,3305.1,254,69.75,45,33,9.06,0,0,0
Nicaragua,Americas,11739,177.2,466,7.03,0,205,3.09,1,0.02,0
Saint Lucia,Americas,11727,6386.32,407,221.64,18,215,117.09,22,11.98,6
Central African Republic,Africa,11401,236.06,30,0.62,10,100,2.07,0,0,0
Jersey,Europe,10117,9385.32,109,101.12,34,78,72.36,0,0,0
Gambia,Africa,9939,411.27,5,0.21,0,338,13.99,0,0,0
Barbados,Americas,9523,3313.79,1542,536.58,318,84,29.23,15,5.22,3
Yemen,Eastern Mediterranean,9271,31.08,232,0.78,37,1763,5.91,48,0.16,15
New Caledonia,Western Pacific,8656,3031.9,1480,518.39,150,177,62,63,22.07,12
Brunei Darussalam,Western Pacific,8150,1862.95,1200,274.3,106,39,8.91,9,2.06,1
Isle of Man,Europe,7843,9223.59,299,351.63,71,52,61.15,1,1.18,0
United States Virgin Islands,Americas,6885,6593.25,186,178.12,12,72,68.95,1,0.96,0
Eritrea,Africa,6729,189.74,20,0.56,4,42,1.18,0,0,0
Sierra Leone,Africa,6396,80.18,2,0.03,0,121,1.52,0,0,0
Guinea-Bissau,Africa,6112,310.57,9,0.46,0,135,6.86,0,0,0
Niger,Africa,6065,25.06,57,0.24,8,204,0.84,3,0.01,0
Liberia,Africa,5799,114.66,0,0,0,286,5.65,0,0,0
Gibraltar,Europe,5597,16612.75,56,166.22,7,97,287.91,0,0,0
Grenada,Americas,5484,4873.67,445,395.47,50,165,146.64,30,26.66,3
San Marino,Europe,5464,16099.95,24,70.72,4,91,268.14,0,0,0
Bermuda,Americas,5425,8711.64,258,414.3,6,82,131.68,20,32.12,0
Chad,Africa,5053,30.76,14,0.09,2,174,1.06,0,0,0
Sint Maarten,Americas,4355,10155.78,92,214.54,13,68,158.57,2,4.66,0
Comoros,Africa,4158,478.15,17,1.95,2,147,16.9,0,0,0
New Zealand,Western Pacific,4122,85.48,206,4.27,31,27,0.56,0,0,0
Saint Vincent and the Grenadines,Americas,3866,3484.77,442,398.41,90,33,29.75,14,12.62,0
Saint Martin,Americas,3819,9878.68,24,62.08,0,36,93.12,1,2.59,0
Dominica,Americas,3786,5258.99,493,684.81,87,22,30.56,7,9.72,0
Sao Tome and Principe,Africa,3584,1635.34,176,80.31,20,55,25.1,5,2.28,0
Liechtenstein,Europe,3562,9192.97,5,12.9,0,58,149.69,0,0,0
Antigua and Barbuda,Americas,3518,3592.4,358,365.57,15,85,86.8,9,9.19,0
Monaco,Europe,3327,8477.73,14,35.67,3,35,89.19,0,0,0
Turks and Caicos Islands,Americas,2875,7425.49,39,100.73,7,23,59.4,0,0,0
British Virgin Islands,Americas,2725,9012.14,49,162.05,7,37,122.37,0,0,0
Bhutan,South-East Asia,2613,338.64,12,1.56,0,3,0.39,0,0,0
Bonaire,Americas,2129,10179.3,97,463.78,11,19,90.84,0,0,0
Saint Kitts and Nevis,Americas,2073,3897.2,155,291.4,36,16,30.08,3,5.64,3
Guernsey,Europe,1658,2571.82,61,94.62,4,21,32.57,0,0,0
Saint Barthélemy,Americas,1649,16681.84,15,151.75,0,4,40.47,2,20.23,0
Faroe Islands,Europe,1246,2549.88,85,173.95,9,2,4.09,0,0,0
Cayman Islands,Americas,920,1399.88,100,152.16,15,2,3.04,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Greenland,Europe,600,1056.86,27,47.56,5,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Anguilla,Americas,453,3019.6,64,426.61,0,1,6.67,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,273,474.31,4,6.95,1,2,3.47,0,0,0
Falkland Islands (Malvinas),Americas,67,1923.63,0,0,0,0,0,0,0,0
Montserrat,Americas,40,800.16,6,120.02,0,1,20,0,0,0
Saint Pierre and Miquelon,Americas,32,552.2,1,17.26,0,0,0,0,0,0
Sint Eustatius,Americas,28,892,0,0,0,1,31.86,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,11,569.06,0,0,0,0,0,0,0,0
Palau,Western Pacific,5,27.64,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,3,5.44,2,3.62,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
