Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Antigua and Barbuda,Americas,1216,1241.72,19,19.4,3,31,31.66,1,1.02,0,Clusters of cases
Mauritius,Africa,1203,94.59,27,2.12,0,15,1.18,3,0.24,0,Clusters of cases
Bhutan,South-East Asia,957,124.03,39,5.05,5,1,0.13,0,0,0,Sporadic cases
Saint Barthélemy,Americas,954,9650.99,26,263.02,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,822,1275.05,1,1.55,0,14,21.72,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,662,1354.75,1,2.05,0,1,2.05,0,0,0,Sporadic cases
Cayman Islands,Americas,525,798.84,9,13.69,0,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,447,3974.75,6,53.35,0,5,44.46,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,221,50.52,2,0.46,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,187,618.45,9,29.76,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,172,238.92,7,9.72,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,162,281.46,2,3.47,0,2,3.47,0,0,0,Pending
Grenada,Americas,159,141.3,2,1.78,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,124,43.43,3,1.05,1,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,74,8.25,6,0.67,2,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,62,1780.07,2,57.42,0,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,58,0.8,7,0.1,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,82.72,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,29,193.31,0,0,0,0,0,0,0,0,Sporadic cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,25,431.41,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
