Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Slovenia,Europe,1276150,60889.057,12024,573.702,554,8623,411.43,7,0.334,0
Morocco,Eastern Mediterranean,1270161,3441.186,816,2.211,42,16288,44.128,3,0.008,0
Croatia,Europe,1257061,30976.094,2247,55.37,243,17400,428.765,52,1.281,4
Lebanon,Eastern Mediterranean,1221144,17891.053,377,5.523,0,10741,157.367,1,0.015,0
Guatemala,Americas,1164240,6498.482,4535,25.313,0,19959,111.406,5,0.028,0
Costa Rica,Americas,1148914,22553.737,0,0,0,9046,177.577,0,0,0
Tunisia,Eastern Mediterranean,1147145,9706.252,73,0.618,0,29269,247.652,1,0.008,0
Bolivia (Plurinational State of),Americas,1114914,9551.204,2605,22.316,0,22252,190.628,3,0.026,0
Cuba,Americas,1111484,9813.028,50,0.441,0,8530,75.309,0,0,0
United Arab Emirates,Eastern Mediterranean,1045515,10571.006,737,7.452,92,2348,23.74,0,0,0
Puerto Rico,Americas,1022766,35750.386,4569,159.708,0,5423,189.559,32,1.119,0
Ecuador,Americas,1018179,5770.991,0,0,0,35907,203.519,0,0,0
Panama,Americas,1009252,23390.649,0,0,0,8533,197.763,0,0,0
Nepal,South-East Asia,1000939,3435.308,28,0.096,7,12019,41.25,0,0,0
Uruguay,Americas,995402,28655.134,0,0,0,7541,217.087,0,0,0
Mongolia,Western Pacific,994079,30323.095,374,11.408,0,2135,65.125,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,968527,50770.021,2849,149.344,75,6111,320.338,8,0.419,0
Saudi Arabia,Eastern Mediterranean,826191,2373.166,418,1.201,38,9484,27.242,12,0.034,2
Azerbaijan,Europe,824870,8135.475,371,3.659,68,9986,98.489,3,0.03,0
Paraguay,Americas,718502,10073.581,0,0,0,19646,275.442,16,0.224,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,192,3.764,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,0,0,0,1536,90.269,0,0,0
Sri Lanka,South-East Asia,671756,3137.105,45,0.21,4,16808,78.493,3,0.014,0
Kuwait,Eastern Mediterranean,662747,15518.932,0,0,0,2570,60.179,0,0,0
Dominican Republic,Americas,650990,6001.064,0,0,0,4384,40.413,0,0,0
Myanmar,South-East Asia,633457,1164.233,133,0.244,0,19488,35.817,0,0,0
Cyprus,Europe,622102,70056.137,3854,434.007,0,1242,139.864,5,0.563,0
Estonia,Europe,609827,45886.984,110,8.277,0,2799,210.613,9,0.677,0
Republic of Moldova,Europe,595309,14757.423,0,0,0,11920,295.491,0,0,0
Venezuela (Bolivarian Republic of),Americas,548061,1927.353,289,1.016,0,5829,20.499,0,0,0
Egypt,Eastern Mediterranean,515456,503.698,0,0,0,24799,24.233,0,0,0
Libya,Eastern Mediterranean,507100,7379.98,16,0.233,0,6437,93.68,0,0,0
Ethiopia,Africa,494786,430.385,26,0.023,0,7572,6.586,0,0,0
Qatar,Eastern Mediterranean,484180,16805.661,3550,123.219,359,685,23.776,0,0,0
Réunion,Africa,482906,53937.175,1366,152.573,0,905,101.082,2,0.223,0
Honduras,Americas,458921,4633.409,0,0,0,11051,111.574,0,0,0
Armenia,Europe,445828,15045.319,0,0,0,8712,294.003,0,0,0
Bosnia and Herzegovina,Europe,400681,12212.85,97,2.957,7,16212,494.146,9,0.274,0
Oman,Eastern Mediterranean,399119,7815.708,0,0,0,4628,90.627,0,0,0
North Macedonia,Europe,345067,16562.845,0,0,0,9591,460.358,0,0,0
Kenya,Africa,341924,635.886,0,0,0,5684,10.571,0,0,0
Zambia,Africa,333746,1815.42,0,0,0,4019,21.861,0,0,0
Albania,Europe,332407,11550.733,113,3.927,0,3594,124.887,0,0,0
Botswana,Africa,327021,13906.159,0,0,0,2785,118.429,0,0,0
Luxembourg,Europe,308800,49320.565,994,158.759,0,1168,186.549,1,0.16,0
Mauritius,Africa,284994,22409.276,0,0,0,1038,81.619,0,0,0
Montenegro,Europe,284103,45234.865,291,46.333,43,2790,444.224,0,0,0
Kosovo[1],Europe,272175,15157.329,5,0.278,1,3192,177.761,0,0,0
Algeria,Africa,271135,618.309,28,0.064,0,6881,15.692,0,0,0
Nigeria,Africa,266283,129.176,0,0,0,3155,1.531,0,0,0
Brunei Darussalam,Western Pacific,261440,59760.583,0,0,0,144,32.916,0,0,0
Zimbabwe,Africa,259356,1744.986,0,0,0,5622,37.826,0,0,0
Uzbekistan,Europe,248210,741.607,906,2.707,122,1637,4.891,0,0,0
Mozambique,Africa,230816,738.483,0,0,0,2229,7.132,0,0,0
Martinique,Americas,224468,59815.863,0,0,0,1071,285.398,0,0,0
Lao People's Democratic Republic,Western Pacific,217161,2984.801,337,4.632,16,757,10.405,0,0,0
Iceland,Europe,207504,56985.615,62,17.027,0,229,62.889,5,1.373,0
Afghanistan,Eastern Mediterranean,206603,530.726,367,0.943,58,7839,20.137,5,0.013,0
Kyrgyzstan,Europe,206553,3165.956,10,0.153,10,2991,45.845,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4230,65.215,0,0,0
Guadeloupe,Americas,198608,49636.613,0,0,0,997,249.173,0,0,0
Maldives,South-East Asia,185651,34345.215,19,3.515,0,311,57.535,0,0,0
Trinidad and Tobago,Americas,185528,13256.848,151,10.79,0,4268,304.969,1,0.071,0
Ghana,Africa,171023,550.392,0,0,0,1461,4.702,0,0,0
Namibia,Africa,169929,6687.735,0,0,0,4080,160.573,0,0,0
Uganda,Africa,169715,371.035,0,0,0,3630,7.936,0,0,0
Jamaica,Americas,152669,5155.704,45,1.52,0,3433,115.934,0,0,0
Cambodia,Western Pacific,138251,826.911,109,0.652,13,3056,18.279,0,0,0
Rwanda,Africa,132811,1025.392,0,0,0,1467,11.326,0,0,0
Cameroon,Africa,123993,467.09,0,0,0,1965,7.402,0,0,0
Malta,Europe,115981,22539.665,90,17.491,8,809,157.22,0,0,0
Angola,Africa,104808,318.892,0,0,0,1925,5.857,0,0,0
Barbados,Americas,104416,36334.406,0,0,0,567,197.303,0,0,0
French Guiana,Americas,96389,32271.446,0,0,0,411,137.605,0,0,0
Democratic Republic of the Congo,Africa,94713,105.752,0,0,0,1457,1.627,0,0,0
Senegal,Africa,88887,530.861,0,0,0,1968,11.754,0,0,0
Malawi,Africa,88123,460.655,0,0,0,2685,14.036,0,0,0
Côte d’Ivoire,Africa,87891,333.195,3,0.011,0,830,3.147,0,0,0
Suriname,Americas,81581,13906.674,0,0,0,1393,237.457,0,0,0
French Polynesia,Western Pacific,77646,27641.078,371,132.072,0,649,231.036,0,0,0
New Caledonia,Western Pacific,77263,27062.536,1076,376.885,0,314,109.983,0,0,0
Eswatini,Africa,73908,6370.479,0,0,0,1422,122.569,0,0,0
Guyana,Americas,71700,9115.736,58,7.374,0,1285,163.371,0,0,0
Belize,Americas,69117,17382.327,69,17.353,0,688,173.026,0,0,0
Fiji,Western Pacific,68553,7647.206,102,11.378,20,878,97.942,0,0,0
Madagascar,Africa,67488,243.718,0,0,0,1413,5.103,0,0,0
Sudan,Eastern Mediterranean,63663,145.186,8,0.018,0,4992,11.384,1,0.002,0
Jersey,Europe,63595,58995.696,286,265.316,0,142,131.73,0,0,0
Mauritania,Africa,63419,1363.95,0,0,0,997,21.442,0,0,0
Cabo Verde,Africa,63085,11346.488,0,0,0,412,74.102,0,0,0
Bhutan,South-East Asia,62521,8102.689,9,1.166,0,21,2.722,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57414,328.068,8,0.046,1,3163,18.074,0,0,0
Burundi,Africa,51276,431.225,0,0,0,15,0.126,0,0,0
Seychelles,Africa,50068,50909.535,0,0,0,171,173.874,0,0,0
Guam,Western Pacific,49577,29374.611,0,0,0,409,242.334,0,0,0
Gabon,Africa,48973,2200.308,0,0,0,306,13.748,0,0,0
Andorra,Europe,47446,61406.847,227,293.794,0,158,204.491,1,1.294,0
Papua New Guinea,Western Pacific,46457,519.245,167,1.867,0,669,7.477,1,0.011,0
Curaçao,Americas,45630,27807.402,44,26.814,0,297,180.995,2,1.219,0
Aruba,Americas,43693,40924.077,52,48.705,0,280,262.256,44,41.212,0
Mayotte,Africa,41853,15341.165,174,63.779,0,187,68.545,0,0,0
United Republic of Tanzania,Africa,40806,68.313,0,0,0,845,1.415,0,0,0
Togo,Africa,39332,475.097,0,0,0,290,3.503,0,0,0
Guinea,Africa,38153,290.517,0,0,0,464,3.533,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Bahamas,Americas,37491,9533.775,0,0,0,833,211.828,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,33874,297.074,0,0,0,860,7.542,0,0,0
Guernsey,Europe,33080,51312.279,180,279.208,0,66,102.376,1,1.551,0
Mali,Africa,32763,161.786,3,0.015,0,742,3.664,0,0,0
Cayman Islands,Americas,31359,47716.068,0,0,0,36,54.778,0,0,0
Saint Lucia,Americas,29723,16186.617,0,0,0,409,222.734,0,0,0
Benin,Africa,27980,230.797,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27286,171.683,0,0,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Solomon Islands,Western Pacific,24575,3577.751,0,0,0,153,22.275,0,0,0
United States Virgin Islands,Americas,23608,22607.613,63,60.33,0,125,119.703,0,0,0
Timor-Leste,South-East Asia,23372,1772.694,17,1.289,3,138,10.467,0,0,0
San Marino,Europe,22406,66020.39,0,0,0,119,350.639,0,0,0
Micronesia (Federated States of),Western Pacific,22036,19157.908,0,0,0,58,50.425,0,0,0
Burkina Faso,Africa,21631,103.481,0,0,0,387,1.851,0,0,0
Liechtenstein,Europe,21064,54362.918,41,105.815,0,86,221.953,0,0,0
Gibraltar,Europe,20207,59977.442,0,0,0,110,326.497,0,0,0
Grenada,Americas,19636,17450.655,0,0,0,237,210.624,0,0,0
Bermuda,Americas,18519,29738.41,0,0,0,152,244.087,0,0,0
South Sudan,Africa,18352,163.949,0,0,0,138,1.233,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Equatorial Guinea,Africa,17087,1217.903,0,0,0,183,13.044,0,0,0
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0
Samoa,Western Pacific,15970,8048.827,0,0,0,29,14.616,0,0,0
Dominica,Americas,15760,21891.625,0,0,0,74,102.791,0,0,0
Monaco,Europe,15713,40039.242,142,361.839,0,65,165.63,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Marshall Islands,Western Pacific,15547,26264.486,0,0,0,17,28.719,0,0,0
Central African Republic,Africa,15310,316.993,0,0,0,113,2.34,0,0,0
Nicaragua,Americas,15263,230.4,13,0.196,0,245,3.698,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13171,22883.403,0,0,0,40,69.496,0,0,0
Gambia,Africa,12586,520.8,0,0,0,372,15.393,0,0,0
Saint Martin,Americas,12104,31309.656,0,0,0,46,118.989,0,0,0
Vanuatu,Western Pacific,11981,3900.763,0,0,0,14,4.558,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11945,40.049,0,0,0,2159,7.239,0,0,0
Sint Maarten,Americas,10954,25544.518,0,0,0,89,207.546,0,0,0
Eritrea,Africa,10189,287.304,0,0,0,103,2.904,0,0,0
Bonaire,Americas,9650,46139.135,37,176.907,0,31,148.219,0,0,0
Saint Vincent and the Grenadines,Americas,9482,8546.962,0,0,0,116,104.561,0,0,0
Niger,Africa,9457,39.068,12,0.05,0,314,1.297,0,0,0
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0
Comoros,Africa,8977,1032.313,0,0,0,160,18.399,0,0,0
Guinea-Bissau,Africa,8848,449.593,0,0,0,176,8.943,0,0,0
American Samoa,Western Pacific,8265,14973.64,0,0,0,34,61.598,0,0,0
Liberia,Africa,8035,158.867,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7760,97.28,0,0,0,125,1.567,0,0,0
Chad,Africa,7647,46.555,0,0,0,194,1.181,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6559,12330.802,0,0,0,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6446,16648.587,0,0,0,36,92.98,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Sao Tome and Principe,Africa,6279,2865.043,0,0,0,77,35.134,0,0,0
Palau,Western Pacific,5933,32793.5,0,0,0,7,38.691,0,0,0
Saint Barthélemy,Americas,5382,54446.131,0,0,0,5,50.582,0,0,0
Nauru,Western Pacific,4621,42652.76,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3904,26023.197,0,0,0,12,79.989,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Wallis and Futuna,Western Pacific,3415,30366.352,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,3274,56496.98,24,414.15,0,1,17.256,0,0,0
Tuvalu,Western Pacific,2779,23566.825,0,0,0,0,0,0,0,0
Saint Helena,Africa,2166,35677.813,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,1923,55211.025,0,0,0,0,0,0,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Sint Eustatius,Americas,1210,38547.308,4,127.429,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,736,38075.53,0,0,0,2,103.466,0,0,0
Niue,Western Pacific,198,12237.33,26,1606.922,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
